country,region,code,hdi,A(House School),A(House Hospital),A(House Pharmacy),A(House Restaurant),A(School Hospital),A(Police Hospital),A(House Place of Worship),A(Bank Slot Machine),A(Fast-Food Place Toilet),A(House Police),A(University Library),A(House Library),D(School),D(Hospital),D(Pharmacy),D(Police),D(Library),D(Toilet),D(Restaurant),D(Place of Worship),D(Post Box),D(Vending Machine),D(Bench),D(Tree)
Chili,Coquimbo,CHLr104,0.838,0.4381964984304475,4.437587043606729,6.9529518106568196,1.2386032766022144,12.978267153868426,18.040851168041968,1.2123328374946496,,3.213194609277448,2.015605468614375,1.0795197266178467,6.0774415927610255,0.019535928790617132,0.00044455969435032666,0.0020499141461709507,0.0012348880398620186,0.00032107089036412484,0.0016547499734151049,0.008891193887006533,0.0031860111428440078,2.469776079724037e-05,0.0,0.014522283348777337,0.17389693377336946
Chili,Valparaiso (former Aconcagua),CHLr105,0.876,0.47220504000014984,3.156320194644627,1.361623817161931,0.7870917749366789,3.6443932496365057,6.821987889297967,0.7810736596200702,,1.0566457430901446,1.5612122179998908,1.6929843465606373,3.911694339953763,0.076452054371607,0.002592666856274514,0.018528082655815428,0.00581769148237208,0.0016441302015399357,0.008789773000540424,0.06355195586721674,0.030100229843577284,0.00018970733094691566,0.0005058862158584417,0.03617086443387858,0.4781257097632097
Chili,OHiggins,CHLr106,0.829,0.7346234026896732,4.3450944902569315,2.9142238172193364,1.6643474949940977,5.917008817378909,9.379454904457127,1.3243342887586733,,2.5084255031940645,2.4400320863920233,2.9310274697333405,4.336276097734585,0.04577767051729845,0.001897202922508358,0.0081396125385036,0.0044676068820358105,0.0014076021683126526,0.004773607353408127,0.026622041009391476,0.014932823002969012,0.00018360028282338948,0.0004284006599212421,0.036475256187580046,0.947010258803043
Chili,Maule,CHLr107,0.798,1.0484724886445465,10.923330902124759,10.880186405141957,2.3502737883781593,9.444930277512197,15.153013750192732,3.9494417392056183,,7.71416354253502,2.630965653698153,0.7848171525506246,10.21506324132734,0.030645643261312396,0.0006934897720771124,0.003599542150305012,0.003929775375103637,0.0006934897720771124,0.0011558162867951873,0.010534439871076136,0.008751180457163561,6.604664495972499e-05,0.0,0.007562340847888512,0.12997979728073877
Chili,Bio Bio,CHLr108,0.834,0.449485104124605,3.5329996329876887,10.190144455057546,1.3842479446040314,11.191097453778006,13.839752649901182,1.0193090292885574,,3.0193505250495822,1.8900166562964107,2.072473054261434,20.32422466538197,0.04372295780659955,0.0010287754778023424,0.005062658272343106,0.003844371522314016,0.0011912137111395544,0.002247062227831432,0.01499846354480257,0.0167852841115119,0.00018951127222674728,0.00013536519444767663,0.02756035358954696,0.2483951318114866
Chili,Arbucania,CHLr109,0.795,0.7028140712078557,6.274455889078804,3.0301129448306297,1.7241792539855838,9.838793210243981,11.355737466562045,1.71457625421477,,4.6559253871857536,2.476674873938378,2.552875462616879,6.7627418764053875,0.03729529840290133,0.0010700760723195318,0.0027381358321117433,0.002926972786050484,0.001038603246663075,0.0017939510624180386,0.013407423729650605,0.006703711864825303,6.294565131291364e-05,0.0,0.00623161947997845,0.2892982134341511
Chili,Los Lagos (incl Los Rios),CHLr110,0.803,1.2101770075671765,7.337856599522355,6.412807777203742,2.9845158598972357,14.005212556367395,18.498843961705504,3.5990629705941792,,5.10068060865605,4.187687405417265,1.4376295823505398,8.240851649768372,0.023281004506942843,0.0006702107358059303,0.001992995082791319,0.0022928262014413406,0.0005114766141676837,0.0017989867119001287,0.01192269624749497,0.005661517005097464,7.05484985058874e-05,0.0001058227477588311,0.0527526397577773,0.47498540331551337
Chili,Aisen,CHLr111,0.816,1.692127556559422,11.629103771443804,8.945406155582605,4.38255871674818,17.748725511325425,47.143695073380414,3.5655580895298007,,9.137214376106003,2.394403522040741,1.0130044513313554,6.280961023250572,0.0010615652660855574,6.999331424739939e-05,0.0001749832856184985,0.00038496322836069667,0.00013998662849479878,0.0006532709329757277,0.0020531372179237155,0.0006416053806011611,3.4996657123699694e-05,0.0,0.00115488968508209,0.0078509167480833
Chili,Magallanes and La Antartica Chilena,CHLr112,0.872,0.8966145418408913,2.295132294933379,2.055340765387332,0.8909483305782455,7.581980030975853,50.364762166648326,0.6689578201267712,,1.521842386343572,2.333234177031105,1.1367038844381325,2.1649939121356496,0.001554793253798878,0.00012367673609763803,0.0003003577876656924,0.0003180258928224978,0.0001060086309408326,0.0009187414681538826,0.0024205304064823445,0.0009717457836242988,5.30043154704163e-05,1.7668105156805434e-05,0.003833978819026779,0.02100737703144166
Chili,Region Metropolitana,CHLr113,0.89,0.3906775349153625,2.825628917785094,0.9223559291361656,0.6808321531674945,2.7370996373604384,4.320512320040356,0.6460345530291545,,1.3512539768296785,1.6104198409832893,0.978054994563762,2.654812159260328,0.23921371729839686,0.004675186657297659,0.07155632911586139,0.011168501459099962,0.007402378874054626,0.01883061292522668,0.2052536808849708,0.07032259930351895,0.0005194651841441843,0.002012927588558714,0.1913579872091139,3.122505221890692
