country,region,hdi
Spain,Comunidad Foral de Navarra,.928
Spain,La Rioja,.916
Spain,Aragon,.915
Spain,Comunidad de Madrid,.942
Spain,Castilla y Leon,.912
Spain,Castilla-la Mancha,.876
Spain,Extremadura,.876
Spain,Cataluna,.922
Spain,Comunidad Valenciana,.897
Spain,Illes Balears,.879
Spain,Andalucia,.881
Spain,Region de Murcia,.885
Spain,Ciudad Autonoma de Ceuta,.86
Spain,Ciudad Autonoma de Melilla,.867
Spain,Canarias,.876
Estonia,Pohja-Eesti,.941
Estonia,Laane-Eesti,.855
Estonia,Kesk-Eesti,.838
Estonia,Kirde-Eesti,.857
Estonia,Louna-Eesti,.873
Ethiopia,Tigray,.517
Ethiopia,Affar,.437
Ethiopia,Amhara,.474
Ethiopia,Oromiya,.476
Ethiopia,Somali,.442
Ethiopia,Ben-Gumz,.484
Ethiopia,SNNP,.497
Ethiopia,Gambela,.569
Ethiopia,Harari,.588
Ethiopia,Addis,.717
Ethiopia,Dire Dawa,.572
Finland,Lansi-Suomi,.936
Finland,Helsinki-Uusimaa,.961
Finland,Etela-Suomi,.932
Finland,Pohjois-ja Ita-Suomi,.929
Finland,Aland,.937
Fiji,Naitasiri,.744
Fiji,Rewa,.731
Fiji,"Serua, Namosi",.703
Fiji,Tailevu,.719
Fiji,"Kadavu, Lau, Lomaiviti, Rotuma",.68
Fiji,"Cakaudrove, Bua",.686
Fiji,Macuata,.719
Fiji,Ba,.734
Fiji,Nadroga or Navosa,.697
Fiji,Ra,.676
France,Ile de France,.956
France,Champagne-Ardenne,.883
France,Picardie,.87
France,Haute-Normandie,.892
France,Centre,.885
France,Basse-Normandie,.881
France,Bourgogne,.886
France,Nord,.888
France,Lorraine,.878
France,Alsace,.904
France,Franche-Comte,.887
France,Pays de la Loire,.905
France,Bretagne,.903
France,Poitou-Charentes,.891
France,Aquitaine,.907
France,Midi-Pyrenees,.91
France,Limousin,.886
France,Rhone-Alpes,.923
France,Auvergne,.889
France,Languedoc-Roussillon,.893
France,Provence-Alpes-Cote dAzur,.912
France,Corse,.864
France,Guadeloupe,.86
France,Martinique,.854
France,French Guyana,.79
France,Reunion,.848
France,Mayotte,.78
Gabon,Estuaire,.716
Gabon,Haut Ogooue,.668
Gabon,Moyen Ogooue,.653
Gabon,Ngounie,.625
Gabon,Nyanga,.633
Gabon,Ogooue Ivindo,.595
Gabon,Ogooue Lolo,.628
Gabon,Ogooue Maritime,.703
Gabon,Woleu Ntem,.651
Gabon,Libreville-Port Gentil,.688
United Kingdom,North East,.911
United Kingdom,North West,.927
United Kingdom,Yorkshire and The Humber,.92
United Kingdom,East Midlands,.925
United Kingdom,West Midlands,.925
United Kingdom,East of England,.928
United Kingdom,London,.984
United Kingdom,South East,.954
United Kingdom,South West,.936
United Kingdom,Wales,.91
United Kingdom,Scotland,.933
United Kingdom,Northern Ireland,.907
Georgia,Ajaria,.819
Georgia,Guria,.771
Georgia,Imereti Racha-Lochkhumi Kvemo Svaneti,.813
Georgia,Kakheti,.769
Georgia,Kvemo Kartli,.796
Georgia,Mtskheta-Mtianeti,.757
Georgia,Samegrelo-Zemo Svateni,.777
Georgia,Samtskhe-Javakheti,.787
Georgia,Shida Kartli,.792
Georgia,Tbilisi,.836
Ghana,Western,.611
Ghana,Central,.612
Ghana,Greater Accra,.67
Ghana,Volta,.603
Ghana,Eastern,.622
Ghana,Ashanti,.618
Ghana,Brong Ahafo,.591
Ghana,Northern,.496
Ghana,Upper West,.536
Ghana,Upper East,.565
Guinea,Boke,.446
Guinea,Conakry,.66
Guinea,Faranah,.409
Guinea,Kankan,.396
Guinea,Kindia,.464
Guinea,Labe,.404
Guinea,Mamou,.437
Guinea,N Zerekore,.456
Gambia,Banjul,.54
Gambia,Kanifing,.548
Gambia,Brikama,.524
Gambia,Mansakonko,.438
Gambia,Kerewan,.445
Gambia,Kuntaur,.337
Gambia,Janjabureh,.385
Gambia,Basse,.421
Guinea Bissau,Tombali,.467
Guinea Bissau,Quinara,.471
Guinea Bissau,Oio,.433
Guinea Bissau,Biombo,.481
Guinea Bissau,Bolama,.473
Guinea Bissau,Bafata,.463
Guinea Bissau,Gabu,.388
Guinea Bissau,Cacheu,.503
Guinea Bissau,Bissau,.578
Equatorial Guinea,"Annobon, Bioko",.782
Equatorial Guinea,Centro Sur,.555
Equatorial Guinea,Kie Ntem,.581
Equatorial Guinea,Litoral,.691
Equatorial Guinea,Wele Nzas,.533
Greece,Attiki,.918
Greece,Voreio Aigaio,.868
Greece,Notio Aigaio,.87
Greece,Kriti,.882
Greece,"Anatoliki Makedonia, Thraki",.862
Greece,Kentriki Makedonia,.876
Greece,Dytiki Makedonia,.885
Greece,Ipeiros,.878
Greece,Thessalia,.88
Greece,Ionia Nisia,.872
Greece,Dytiki Ellada,.864
Greece,Sterea Ellada,.876
Greece,Peloponnisos,.871
Guatemala,Metropolitan,.723
Guatemala,North,.557
Guatemala,North-Oriental,.622
Guatemala,South-Oriental,.615
Guatemala,Central,.64
Guatemala,South-Occidental,.609
Guatemala,North-Occidental,.556
Guatemala,Peten,.61
Guyana,Barima-Waini,.661
Guyana,Pomeroon-Supenaam,.696
Guyana,Essequibo Islands-West Demerara,.733
Guyana,Demerara-Mahaica,.761
Guyana,Mahaica-Berbice,.737
Guyana,East Berbice-Corentyne,.735
Guyana,Cuyuni-Mazaruni,.687
Guyana,Potaro-Siparuni,.652
Guyana,Upper Takutu-Upper Essequibo,.686
Guyana,Upper Demerara-Berbice,.766
Honduras,Atlantida,.63
Honduras,Colon,.603
Honduras,Comayagua,.609
Honduras,Copan,.575
Honduras,Cortes,.666
Honduras,Choluteca,.586
Honduras,El Paraiso,.588
Honduras,Francisco Morazan,.681
Honduras,Gracias a Dios,.552
Honduras,Intibuca,.573
Honduras,Islas de la Bahia,.655
Honduras,La Paz,.597
Honduras,Lempira,.547
Honduras,Ocotepeque,.592
Honduras,Olancho,.581
Honduras,Santa Barbara,.596
Honduras,Valle,.592
Honduras,Yoro,.612
Croatia,City of Zagreb,.938
Croatia,County of Zagreb,.86
Croatia,County of Krapina-Zagorje,.836
Croatia,County of Varazdin,.862
Croatia,County of Koprivnica-Krizevc,.847
Croatia,County of Medimurje,.856
Croatia,County of Bjelovar-Bilogora,.835
Croatia,County of Virovitica-Podravina,.818
Croatia,County of Pozega-Slavonia,.825
Croatia,County of Brod-Posavina,.828
Croatia,County of Osijek-Baranja,.857
Croatia,County of Vukovar-Srijem,.828
Croatia,County of Karlovac,.85
Croatia,County of Sisak-Moslavina,.844
Croatia,County of Primorje-Gorski Kotar,.906
Croatia,County of Lika-Senj,.842
Croatia,County of Zadar,.86
Croatia,County of Sibenik-Knin,.853
Croatia,County of Split-Dalmatia,.871
Croatia,County of Istria,.896
Croatia,County of Dubrovnik-Neretva,.887
Haiti,West (incl Metropolitain area),.582
Haiti,South-East,.531
Haiti,North,.569
Haiti,North-East,.542
Haiti,Artibonite,.518
Haiti,Centre,.502
Haiti,South,.538
Haiti,"Grande-Anse, Nippes",.522
Haiti,North-West,.545
Hungary,Kozep-Magyarorszag,.934
Hungary,Kozep-Dunantul,.848
Hungary,Nyugat-Dunantul,.862
Hungary,Del-Dunantul,.841
Hungary,Eszak-Magyarorszag,.818
Hungary,Eszak-Alfold,.831
Hungary,Del-Alfold,.848
Indonesia,DI Aceh,.717
Indonesia,North Sumatra,.719
Indonesia,West Sumatra,.736
Indonesia,Riau (incl. Riau islands),.725
Indonesia,Jambi,.706
Indonesia,South Sumatra,.705
Indonesia,Bengkulu,.724
